case_id,building_type,method,routing_policy,run_id,seed,num_agents,operational_clearance_time_s,clearance_90_s,peak_density,congestion_duration_s,bottleneck_count,completed_pct
D,apartment layout,random_routing,stochastic,1,1421,74,233.8,156.4,101.24,115.8,101,82.4
D,apartment layout,random_routing,stochastic,2,1422,74,334.6,133.8,95.56,184.1,100,90.5
D,apartment layout,random_routing,stochastic,3,1423,74,298.4,160.48,125.2,154.1,86,87.8
D,apartment layout,random_routing,stochastic,4,1424,74,243.2,149.0,99.08,137.8,88,85.1
D,apartment layout,random_routing,stochastic,5,1425,74,236.8,158.9,97.4,128.7,100,86.5
D,apartment layout,random_routing,stochastic,6,1426,74,201.4,133.76,107.36,103.3,104,77.0
D,apartment layout,random_routing,stochastic,7,1427,74,254.8,157.04,115.2,136.9,96,87.8
D,apartment layout,random_routing,stochastic,8,1428,74,256.6,130.46,102.08,141.8,87,86.5
D,apartment layout,random_routing,stochastic,9,1429,74,200.2,105.88,102.2,109.3,96,74.3
D,apartment layout,random_routing,stochastic,10,1430,74,258.4,136.96,112.76,133.9,100,86.5
D,apartment layout,density_aware,least_crowded,1,1431,74,236.8,132.6,169.16,121.0,86,81.1
D,apartment layout,density_aware,least_crowded,2,1432,74,305.4,130.8,140.24,155.9,79,85.1
D,apartment layout,density_aware,least_crowded,3,1433,74,216.0,136.78,127.0,119.6,79,83.8
D,apartment layout,density_aware,least_crowded,4,1434,74,320.0,169.4,159.44,208.3,73,93.2
D,apartment layout,density_aware,least_crowded,5,1435,74,225.6,139.6,129.88,132.6,91,82.4
D,apartment layout,density_aware,least_crowded,6,1436,74,372.6,164.28,159.2,200.6,87,94.6
D,apartment layout,density_aware,least_crowded,7,1437,74,319.0,92.32,182.24,163.1,83,86.5
D,apartment layout,density_aware,least_crowded,8,1438,74,322.2,164.76,147.72,191.8,75,93.2
D,apartment layout,density_aware,least_crowded,9,1439,74,354.8,165.16,130.28,186.2,98,93.2
D,apartment layout,density_aware,least_crowded,10,1440,74,256.0,95.6,165.88,137.3,72,83.8
D,apartment layout,peopleflow_guided,guided,1,1441,74,140.6,102.6,101.64,75.9,99,21.6
D,apartment layout,peopleflow_guided,guided,2,1442,74,143.4,116.6,101.24,71.0,108,14.9
D,apartment layout,peopleflow_guided,guided,3,1443,74,98.2,94.08,107.72,78.9,110,24.3
D,apartment layout,peopleflow_guided,guided,4,1444,74,136.4,88.68,100.16,72.7,105,16.2
D,apartment layout,peopleflow_guided,guided,5,1445,74,144.0,132.96,112.88,72.5,102,17.6
D,apartment layout,peopleflow_guided,guided,6,1446,74,154.0,127.98,103.12,78.6,107,24.3
D,apartment layout,peopleflow_guided,guided,7,1447,74,142.6,126.3,97.6,71.8,121,18.9
D,apartment layout,peopleflow_guided,guided,8,1448,74,97.0,93.32,109.52,70.9,106,12.2
D,apartment layout,peopleflow_guided,guided,9,1449,74,102.2,83.14,119.52,73.7,99,16.2
D,apartment layout,peopleflow_guided,guided,10,1450,74,133.4,113.68,94.52,75.1,106,20.3
E,hospital floor,shortest_path,shortest_path,1,1511,78,228.0,139.32,222.36,113.1,64,96.2
E,hospital floor,shortest_path,shortest_path,2,1512,78,227.0,154.0,221.44,112.6,61,96.2
